date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:40	79/79	---M--	200	added ('OK')	text/plain	etag:W/%224f-18579e96260%22	https://code.visualstudio.com/robots.txt		(from )
17:42:40	50103/50103	---MCZ	200	added ('OK')	text/html	etag:W/%22c3b7-3DP/6pFn7sXtcQzMSc2rp4AxLFE%22	https://code.visualstudio.com/	E:/Desktop/SSSS/code.visualstudio.com/index.html	(from )
17:42:42	113128/113128	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221b9e8-18579e96679%22	https://code.visualstudio.com/favicon.ico	E:/Desktop/SSSS/code.visualstudio.com/favicon.ico	(from https://code.visualstudio.com/)
17:42:43	13468/13468	---M--	200	added ('OK')	image/png	etag:W/%22349c-18579e937a1%22	https://code.visualstudio.com/apple-touch-icon.png	E:/Desktop/SSSS/code.visualstudio.com/apple-touch-icon.png	(from https://code.visualstudio.com/)
17:42:44	121154/121154	---MCZ	200	added ('OK')	text/css	etag:W/%221d942-18579e9663a%22	https://code.visualstudio.com/vendor/bootstrap/css/bootstrap.min.css	E:/Desktop/SSSS/code.visualstudio.com/vendor/bootstrap/css/bootstrap.min.css	(from https://code.visualstudio.com/)
17:42:44	129112/129112	---M--	200	added ('OK')	image/png	etag:W/%221f858-18579e9686d%22	https://code.visualstudio.com/opengraphimg/opengraph-home.png	E:/Desktop/SSSS/code.visualstudio.com/opengraphimg/opengraph-home.png	(from https://code.visualstudio.com/)
17:42:47	139392/139392	---MCZ	200	added ('OK')	text/javascript	etag:0x8DABD089815E872	https://js.monitor.azure.com/scripts/c/ms.analytics-web-3.min.js	E:/Desktop/SSSS/js.monitor.azure.com/scripts/c/ms.analytics-web-3.min.js	(from https://code.visualstudio.com/)
17:42:51	11448/11448	---MCZ	200	added ('OK')	text/xml	etag:W/%222cb8-18579e96232%22	https://code.visualstudio.com/feed.xml	E:/Desktop/SSSS/code.visualstudio.com/feed.xml	(from https://code.visualstudio.com/)
17:42:55	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	E:/Desktop/SSSS/www.google-analytics.com/analytics.js	(from https://code.visualstudio.com/)
17:42:55	58864/58864	---MCZ	200	added ('OK')	text/html	etag:W/%22e5f0-fmMoxtjv+Z1g3mhPd23H6uX2/HM%22	https://code.visualstudio.com/docs	E:/Desktop/SSSS/code.visualstudio.com/docs.html	(from https://code.visualstudio.com/)
17:42:55	279220/279220	---M-Z	200	added ('OK')	application/javascript	etag:0x8DA85F6EA62BF74	https://wcpstatic.microsoft.com/mscc/lib/v2/wcp-consent.js	E:/Desktop/SSSS/wcpstatic.microsoft.com/mscc/lib/v2/wcp-consent.js	(from https://code.visualstudio.com/)
17:42:55	251961/251961	---MCZ	200	added ('OK')	text/css	etag:W/%223d839-18579e966a7%22	https://code.visualstudio.com/dist/style.css	E:/Desktop/SSSS/code.visualstudio.com/dist/style.css	(from https://code.visualstudio.com/)
17:42:56	72/72	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jan%202023%2009:42:54%20GMT	https://code.visualstudio.com/updates	E:/Desktop/SSSS/code.visualstudio.com/updates.a.delayed	(from https://code.visualstudio.com/)
17:42:58	98930/98930	---MCZ	200	added ('OK')	text/html	etag:W/%2218272-4lXxp/Rqw7JQbL21z0NM2jG+SAA%22	https://code.visualstudio.com/updates/v1_74	E:/Desktop/SSSS/code.visualstudio.com/updates/v1_74.html	(from https://code.visualstudio.com/)
17:42:59	338/338	---M--	200	added ('OK')	text/html	etag:W/%22152-18579e9662a%22	https://code.visualstudio.com/blogs	E:/Desktop/SSSS/code.visualstudio.com/blogs.html	(from https://code.visualstudio.com/)
17:43:01	38602/38602	---MCZ	200	added ('OK')	text/html	etag:W/%2296ca-BwXCyhkVQkxpEt+/kkyKU07dL5g%22	https://code.visualstudio.com/api	E:/Desktop/SSSS/code.visualstudio.com/api.html	(from https://code.visualstudio.com/)
17:43:02	97530/97530	---MCZ	200	added ('OK')	text/html	etag:W/%2217cfa-ZVJMIgquCQNuH5TPCtojeoqxiNI%22	https://code.visualstudio.com/docs/supporting/faq	E:/Desktop/SSSS/code.visualstudio.com/docs/supporting/faq.html	(from https://code.visualstudio.com/)
17:43:04	27460/27460	---MCZ	200	added ('OK')	text/html	etag:W/%226b44-7P5hzO0XtTk/ysFnwQrmt0f1jYI%22	https://code.visualstudio.com/learn	E:/Desktop/SSSS/code.visualstudio.com/learn.html	(from https://code.visualstudio.com/)
